pos,artist_name,track_uri,artist_uri,track_name,album_uri,album_name,pid,name,modified_at,num_artists,num_albums,num_tracks,num_followers,num_edits,playlist_duration_ms,collaborative,description,num_playlists_track,num_playlists_artist,raw_track_uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
10,Nelly Furtado,spotify:track:2gam98EZKrF9XuOkU13ApN,spotify:artist:2jw70GZXlAI8QzWeY2bgRc,Promiscuous,spotify:album:2yboV2QBcVGEhcRlYuPpDT,Loose,0,Throwbacks,1493424000,37,47,52,1,6,11532414,false,,13,21,2gam98EZKrF9XuOkU13ApN,0.808,0.97,10,-6.098,0,0.0506,0.0569,6.13e-05,0.154,0.868,114.328,audio_features,spotify:track:2gam98EZKrF9XuOkU13ApN,https://api.spotify.com/v1/tracks/2gam98EZKrF9XuOkU13ApN,https://api.spotify.com/v1/audio-analysis/2gam98EZKrF9XuOkU13ApN,242293,4
11,Jesse McCartney,spotify:track:4Y45aqo9QMa57rDsAJv40A,spotify:artist:2Hjj68yyUPiC0HKEOigcEp,Right Where You Want Me - Radio Edit Version,spotify:album:6022khQj4Fsvvse8f3A4lF,Right Where You Want Me,0,Throwbacks,1493424000,37,47,52,1,6,11532414,false,,3,16,4Y45aqo9QMa57rDsAJv40A,0.71,0.553,4,-4.722,0,0.0292,0.00206,5.48e-05,0.0469,0.731,99.005,audio_features,spotify:track:4Y45aqo9QMa57rDsAJv40A,https://api.spotify.com/v1/tracks/4Y45aqo9QMa57rDsAJv40A,https://api.spotify.com/v1/audio-analysis/4Y45aqo9QMa57rDsAJv40A,211693,4
12,Jesse McCartney,spotify:track:1HwpWwa6bnqqRhK8agG4RS,spotify:artist:2Hjj68yyUPiC0HKEOigcEp,Beautiful Soul,spotify:album:2gidE8vgVOkYufANjuvj3S,Beautiful Soul,0,Throwbacks,1493424000,37,47,52,1,6,11532414,false,,12,16,1HwpWwa6bnqqRhK8agG4RS,0.66,0.666,9,-4.342,1,0.0472,0.0759,0.0,0.0268,0.933,89.975,audio_features,spotify:track:1HwpWwa6bnqqRhK8agG4RS,https://api.spotify.com/v1/tracks/1HwpWwa6bnqqRhK8agG4RS,https://api.spotify.com/v1/audio-analysis/1HwpWwa6bnqqRhK8agG4RS,214227,4
13,Jesse McCartney,spotify:track:20ORwCJusz4KS2PbTPVNKo,spotify:artist:2Hjj68yyUPiC0HKEOigcEp,Leavin',spotify:album:2tDCfKFy2YW9N0IwNSRdOJ,Departure - Recharged,0,Throwbacks,1493424000,37,47,52,1,6,11532414,false,,4,16,20ORwCJusz4KS2PbTPVNKo,0.687,0.71,9,-5.84,1,0.0522,0.0283,3.71e-06,0.0689,0.886,79.235,audio_features,spotify:track:20ORwCJusz4KS2PbTPVNKo,https://api.spotify.com/v1/tracks/20ORwCJusz4KS2PbTPVNKo,https://api.spotify.com/v1/audio-analysis/20ORwCJusz4KS2PbTPVNKo,216880,4
14,Cassie,spotify:track:7k6IzwMGpxnRghE7YosnXT,spotify:artist:27FGXRNruFoOdf1vP8dqcH,Me & U,spotify:album:0j1qzjaJmsF1FkcICf3hRu,Cassie,0,Throwbacks,1493424000,37,47,52,1,6,11532414,false,,6,6,7k6IzwMGpxnRghE7YosnXT,0.803,0.454,8,-4.802,0,0.0294,0.352,0.0,0.0655,0.739,99.99,audio_features,spotify:track:7k6IzwMGpxnRghE7YosnXT,https://api.spotify.com/v1/tracks/7k6IzwMGpxnRghE7YosnXT,https://api.spotify.com/v1/audio-analysis/7k6IzwMGpxnRghE7YosnXT,192213,4
15,Omarion,spotify:track:1Bv0Yl01xBDZD4OQP93fyl,spotify:artist:0f5nVCcR06GX8Qikz0COtT,Ice Box,spotify:album:4cVVEOXyUaWo7vlDWIkKsI,21,0,Throwbacks,1493424000,37,47,52,1,6,11532414,false,,4,27,1Bv0Yl01xBDZD4OQP93fyl,0.775,0.731,8,-5.446,1,0.134,0.189,0.0,0.129,0.821,131.103,audio_features,spotify:track:1Bv0Yl01xBDZD4OQP93fyl,https://api.spotify.com/v1/tracks/1Bv0Yl01xBDZD4OQP93fyl,https://api.spotify.com/v1/audio-analysis/1Bv0Yl01xBDZD4OQP93fyl,256427,4
16,Avril Lavigne,spotify:track:4omisSlTk6Dsq2iQD7MA07,spotify:artist:0p4nmQO2msCgU4IF37Wi3j,Sk8er Boi,spotify:album:7h6XeTzy0SRXDrFJeA9gO7,Let Go,0,Throwbacks,1493424000,37,47,52,1,6,11532414,false,,11,27,4omisSlTk6Dsq2iQD7MA07,0.487,0.9,0,-4.417,1,0.0482,6.79e-05,0.0,0.358,0.484,149.937,audio_features,spotify:track:4omisSlTk6Dsq2iQD7MA07,https://api.spotify.com/v1/tracks/4omisSlTk6Dsq2iQD7MA07,https://api.spotify.com/v1/audio-analysis/4omisSlTk6Dsq2iQD7MA07,204000,4
17,Chris Brown,spotify:track:7xYnUQigPoIDAMPVK79NEq,spotify:artist:7bXgB6jMjp9ATFy66eO08Z,Run It!,spotify:album:49gaz5rhWWgqCw61M9700v,Chris Brown,0,Throwbacks,1493424000,37,47,52,1,6,11532414,false,,7,106,7xYnUQigPoIDAMPVK79NEq,0.846,0.482,1,-6.721,0,0.129,0.0246,0.0,0.393,0.212,100.969,audio_features,spotify:track:7xYnUQigPoIDAMPVK79NEq,https://api.spotify.com/v1/tracks/7xYnUQigPoIDAMPVK79NEq,https://api.spotify.com/v1/audio-analysis/7xYnUQigPoIDAMPVK79NEq,229867,4
18,Beyoncé,spotify:track:6d8A5sAx9TfdeseDvfWNHd,spotify:artist:6vWDO969PvNqNYHIOW5v0m,Check On It - feat. Bun B and Slim Thug,spotify:album:3MJHoQUI828kmB6IpjejbW,B'Day,0,Throwbacks,1493424000,37,47,52,1,6,11532414,false,,4,101,6d8A5sAx9TfdeseDvfWNHd,0.705,0.796,7,-6.845,1,0.267,0.0708,0.0,0.388,0.864,166.042,audio_features,spotify:track:6d8A5sAx9TfdeseDvfWNHd,https://api.spotify.com/v1/tracks/6d8A5sAx9TfdeseDvfWNHd,https://api.spotify.com/v1/audio-analysis/6d8A5sAx9TfdeseDvfWNHd,210453,4
19,Destiny's Child,spotify:track:4pmc2AxSEq6g7hPVlJCPyP,spotify:artist:1Y8cdNmUJH7yBTd9yOvr5i,"Jumpin', Jumpin'",spotify:album:283NWqNsCA9GwVHrJk59CG,The Writing's On The Wall,0,Throwbacks,1493424000,37,47,52,1,6,11532414,false,,6,26,4pmc2AxSEq6g7hPVlJCPyP,0.771,0.685,1,-4.639,1,0.0567,0.00543,0.00157,0.0537,0.683,88.997,audio_features,spotify:track:4pmc2AxSEq6g7hPVlJCPyP,https://api.spotify.com/v1/tracks/4pmc2AxSEq6g7hPVlJCPyP,https://api.spotify.com/v1/audio-analysis/4pmc2AxSEq6g7hPVlJCPyP,230200,4
20,Sheryl Crow,spotify:track:215JYyyUnrJ98NK3KEwu6d,spotify:artist:4TKTii6gnOnUXQHyuo9JaD,Soak Up The Sun,spotify:album:5NYcTXrRZHxNyRKVOd0vs1,C'Mon C'Mon,0,Throwbacks,1493424000,37,47,52,1,6,11532414,false,,2,8,215JYyyUnrJ98NK3KEwu6d,0.717,0.733,4,-4.985,1,0.0427,0.0398,0.0,0.136,0.713,119.996,audio_features,spotify:track:215JYyyUnrJ98NK3KEwu6d,https://api.spotify.com/v1/tracks/215JYyyUnrJ98NK3KEwu6d,https://api.spotify.com/v1/audio-analysis/215JYyyUnrJ98NK3KEwu6d,292307,4
21,The Black Eyed Peas,spotify:track:0uqPG793dkDDN7sCUJJIVC,spotify:artist:1yxSLGMDHlW21z4YXirZDS,Where Is The Love?,spotify:album:1bNyYpkDRovmErm4QeDrpJ,Elephunk,0,Throwbacks,1493424000,37,47,52,1,6,11532414,false,,11,48,0uqPG793dkDDN7sCUJJIVC,0.835,0.687,5,-3.18,1,0.184,0.101,0.0,0.132,0.828,94.059,audio_features,spotify:track:0uqPG793dkDDN7sCUJJIVC,https://api.spotify.com/v1/tracks/0uqPG793dkDDN7sCUJJIVC,https://api.spotify.com/v1/audio-analysis/0uqPG793dkDDN7sCUJJIVC,272533,4
22,Bowling For Soup,spotify:track:19Js5ypV6JKn4DMExHQbGc,spotify:artist:5ND0mGcL9SKSjWIjPd0xIb,Stacy's Mom,spotify:album:3Q7xpHmP8k3HryE0LQdIk0,I've Never Done Anything Like This,0,Throwbacks,1493424000,37,47,52,1,6,11532414,false,,4,16,19Js5ypV6JKn4DMExHQbGc,0.728,0.801,4,-3.636,1,0.0752,0.00349,0.000195,0.0907,0.813,119.989,audio_features,spotify:track:19Js5ypV6JKn4DMExHQbGc,https://api.spotify.com/v1/tracks/19Js5ypV6JKn4DMExHQbGc,https://api.spotify.com/v1/audio-analysis/19Js5ypV6JKn4DMExHQbGc,193043,4
23,The Click Five,spotify:track:1JURww012QnWAw0zZXi6Aa,spotify:artist:01lz5VBfkMFDteSA9pKJuP,Just The Girl,spotify:album:7gZilZGYr8M7UwEeYvdAKZ,Greetings From Imrie House,0,Throwbacks,1493424000,37,47,52,1,6,11532414,false,,3,4,1JURww012QnWAw0zZXi6Aa,0.571,0.89,9,-1.6,1,0.0395,0.00509,0.0,0.0769,0.751,110.958,audio_features,spotify:track:1JURww012QnWAw0zZXi6Aa,https://api.spotify.com/v1/tracks/1JURww012QnWAw0zZXi6Aa,https://api.spotify.com/v1/audio-analysis/1JURww012QnWAw0zZXi6Aa,234147,4
24,Chris Brown,spotify:track:7DFnq8FYhHMCylykf6ZCxA,spotify:artist:7bXgB6jMjp9ATFy66eO08Z,Yo (Excuse Me Miss),spotify:album:49gaz5rhWWgqCw61M9700v,Chris Brown,0,Throwbacks,1493424000,37,47,52,1,6,11532414,false,,5,106,7DFnq8FYhHMCylykf6ZCxA,0.536,0.612,4,-5.847,1,0.272,0.119,0.0,0.209,0.57,86.768,audio_features,spotify:track:7DFnq8FYhHMCylykf6ZCxA,https://api.spotify.com/v1/tracks/7DFnq8FYhHMCylykf6ZCxA,https://api.spotify.com/v1/audio-analysis/7DFnq8FYhHMCylykf6ZCxA,229040,4
25,Jonas Brothers,spotify:track:1TfAhjzRBWzYZ8IdUV3igl,spotify:artist:7gOdHgIoIKoe4i9Tta6qdD,Year 3000,spotify:album:20RAjvZ9LX2FDuDU8RDuIl,Jonas Brothers,0,Throwbacks,1493424000,37,47,52,1,6,11532414,false,,11,19,1TfAhjzRBWzYZ8IdUV3igl,0.659,0.869,11,-5.858,1,0.046,0.00357,0.0,0.302,0.811,106.966,audio_features,spotify:track:1TfAhjzRBWzYZ8IdUV3igl,https://api.spotify.com/v1/tracks/1TfAhjzRBWzYZ8IdUV3igl,https://api.spotify.com/v1/audio-analysis/1TfAhjzRBWzYZ8IdUV3igl,201960,4
26,Lil Mama,spotify:track:1Y4ZdPOOgCUhBcKZOrUFiS,spotify:artist:5qK5bOC6wLtuLhG5KvU17c,Lip Gloss,spotify:album:3vgVsm9GY3i39fZ7b1sqV5,Lip Gloss,0,Throwbacks,1493424000,37,47,52,1,6,11532414,false,,8,8,1Y4ZdPOOgCUhBcKZOrUFiS,0.619,0.87,2,-4.956,1,0.501,0.41,1.37e-06,0.0571,0.94,188.772,audio_features,spotify:track:1Y4ZdPOOgCUhBcKZOrUFiS,https://api.spotify.com/v1/tracks/1Y4ZdPOOgCUhBcKZOrUFiS,https://api.spotify.com/v1/audio-analysis/1Y4ZdPOOgCUhBcKZOrUFiS,219773,4
27,Cascada,spotify:track:6MjljecHzHelUDismyKkba,spotify:artist:0N0d3kjwdY2h7UVuTdJGfp,Everytime We Touch - Radio Edit,spotify:album:5DvuKZTzEKjm0oUuhP237C,Everytime We Touch,0,Throwbacks,1493424000,37,47,52,1,6,11532414,false,,8,11,6MjljecHzHelUDismyKkba,0.624,0.976,8,-5.355,1,0.0494,0.004,1.18e-05,0.376,0.514,142.008,audio_features,spotify:track:6MjljecHzHelUDismyKkba,https://api.spotify.com/v1/tracks/6MjljecHzHelUDismyKkba,https://api.spotify.com/v1/audio-analysis/6MjljecHzHelUDismyKkba,199120,4
28,Jason Derulo,spotify:track:67T6l4q3zVjC5nZZPXByU8,spotify:artist:07YZf4WDAMNwqr4jfgOZ8y,Whatcha Say,spotify:album:0aVJmVAeEx78nAA1rAKYf7,Jason Derulo,0,Throwbacks,1493424000,37,47,52,1,6,11532414,false,,16,75,67T6l4q3zVjC5nZZPXByU8,0.615,0.711,11,-5.507,1,0.0779,0.0444,0.0,0.145,0.711,144.036,audio_features,spotify:track:67T6l4q3zVjC5nZZPXByU8,https://api.spotify.com/v1/tracks/67T6l4q3zVjC5nZZPXByU8,https://api.spotify.com/v1/audio-analysis/67T6l4q3zVjC5nZZPXByU8,221253,4
29,Ne-Yo,spotify:track:34ceTg8ChN5HjrqiIYCn9Q,spotify:artist:21E3waRsmPlU7jZsS13rcj,Miss Independent,spotify:album:6dTn9vJSxVTIGm4Cu5dH4x,Year Of The Gentleman,0,Throwbacks,1493424000,37,47,52,1,6,11532414,false,,13,42,34ceTg8ChN5HjrqiIYCn9Q,0.673,0.683,1,-5.693,1,0.115,0.522,0.0,0.235,0.713,171.86,audio_features,spotify:track:34ceTg8ChN5HjrqiIYCn9Q,https://api.spotify.com/v1/tracks/34ceTg8ChN5HjrqiIYCn9Q,https://api.spotify.com/v1/audio-analysis/34ceTg8ChN5HjrqiIYCn9Q,232000,4
30,Miley Cyrus,spotify:track:5Q0Nhxo0l2bP3pNjpGJwV1,spotify:artist:5YGY8feqx7naU7z4HrwZM6,Party In The U.S.A.,spotify:album:64aKkqxc3Ur2LYIKeS5osS,The Time Of Our Lives,0,Throwbacks,1493424000,37,47,52,1,6,11532414,false,,27,80,5Q0Nhxo0l2bP3pNjpGJwV1,0.652,0.698,10,-4.667,0,0.042,0.00112,0.000115,0.0886,0.47,96.021,audio_features,spotify:track:5Q0Nhxo0l2bP3pNjpGJwV1,https://api.spotify.com/v1/tracks/5Q0Nhxo0l2bP3pNjpGJwV1,https://api.spotify.com/v1/audio-analysis/5Q0Nhxo0l2bP3pNjpGJwV1,202067,4
31,Boys Like Girls,spotify:track:6GIrIt2M39wEGwjCQjGChX,spotify:artist:0vWCyXMrrvMlCcepuOJaGI,The Great Escape,spotify:album:4WqgusSAgXkrjbXzqdBY68,Boys Like Girls,0,Throwbacks,1493424000,37,47,52,1,6,11532414,false,,8,13,6GIrIt2M39wEGwjCQjGChX,0.423,0.94,1,-4.012,0,0.0635,0.00166,0.0,0.178,0.505,149.934,audio_features,spotify:track:6GIrIt2M39wEGwjCQjGChX,https://api.spotify.com/v1/tracks/6GIrIt2M39wEGwjCQjGChX,https://api.spotify.com/v1/audio-analysis/6GIrIt2M39wEGwjCQjGChX,206520,4
32,Iyaz,spotify:track:4E5P1XyAFtrjpiIxkydly4,spotify:artist:5tKXB9uuebKE34yowVaU3C,Replay,spotify:album:44hyrGuZKAvITbmrlhryf8,Replay,0,Throwbacks,1493424000,37,47,52,1,6,11532414,false,,15,18,4E5P1XyAFtrjpiIxkydly4,0.706,0.751,9,-6.323,1,0.0708,0.173,0.0,0.168,0.195,91.031,audio_features,spotify:track:4E5P1XyAFtrjpiIxkydly4,https://api.spotify.com/v1/tracks/4E5P1XyAFtrjpiIxkydly4,https://api.spotify.com/v1/audio-analysis/4E5P1XyAFtrjpiIxkydly4,182307,4
33,Chris Brown,spotify:track:3H1LCvO3fVsK2HPguhbml0,spotify:artist:7bXgB6jMjp9ATFy66eO08Z,Forever,spotify:album:1UtE4zAlSE2TlKmTFgrTg5,Exclusive - The Forever Edition,0,Throwbacks,1493424000,37,47,52,1,6,11532414,false,,15,106,3H1LCvO3fVsK2HPguhbml0,0.669,0.822,11,-4.288,1,0.043,0.0339,0.000142,0.231,0.43,120.011,audio_features,spotify:track:3H1LCvO3fVsK2HPguhbml0,https://api.spotify.com/v1/tracks/3H1LCvO3fVsK2HPguhbml0,https://api.spotify.com/v1/audio-analysis/3H1LCvO3fVsK2HPguhbml0,277107,4
34,Kesha,spotify:track:3uoQULcUWfnt6nc6J7Vgai,spotify:artist:6LqNN22kT3074XbTVUrhzX,Your Love Is My Drug,spotify:album:5peRwC6pQh8eaoIPtvmmOB,Animal,0,Throwbacks,1493424000,37,47,52,1,6,11532414,false,,7,43,3uoQULcUWfnt6nc6J7Vgai,0.829,0.627,1,-3.928,1,0.0759,0.00663,0.0,0.0939,0.72,120.048,audio_features,spotify:track:3uoQULcUWfnt6nc6J7Vgai,https://api.spotify.com/v1/tracks/3uoQULcUWfnt6nc6J7Vgai,https://api.spotify.com/v1/audio-analysis/3uoQULcUWfnt6nc6J7Vgai,187133,4
35,Ne-Yo,spotify:track:2nbClS09zsIAqNkshg6jnp,spotify:artist:21E3waRsmPlU7jZsS13rcj,Closer,spotify:album:1nv3KEXZPmcwOXMoLTs1vn,Year Of The Gentleman,0,Throwbacks,1493424000,37,47,52,1,6,11532414,false,,8,42,2nbClS09zsIAqNkshg6jnp,0.709,0.745,4,-6.437,0,0.0738,0.0225,5.2e-05,0.154,0.576,126.027,audio_features,spotify:track:2nbClS09zsIAqNkshg6jnp,https://api.spotify.com/v1/tracks/2nbClS09zsIAqNkshg6jnp,https://api.spotify.com/v1/audio-analysis/2nbClS09zsIAqNkshg6jnp,234360,4
36,Justin Bieber,spotify:track:69ghzc538EQSVon2Gm3wrr,spotify:artist:1uNFoZAHBGtllmzznpCI3s,One Less Lonely Girl,spotify:album:1rG5TDs3jYh6OU753I54CI,My World,0,Throwbacks,1493424000,37,47,52,1,6,11532414,false,,4,100,69ghzc538EQSVon2Gm3wrr,0.58,0.75,4,-4.421,1,0.194,0.159,0.0,0.274,0.728,86.938,audio_features,spotify:track:69ghzc538EQSVon2Gm3wrr,https://api.spotify.com/v1/tracks/69ghzc538EQSVon2Gm3wrr,https://api.spotify.com/v1/audio-analysis/69ghzc538EQSVon2Gm3wrr,229107,4
37,M.I.A.,spotify:track:1kusepF3AacIEtUTYrw4GV,spotify:artist:0QJIPDAEDILuo8AIq3pMuU,Paper Planes,spotify:album:1Lymt1abGCr3J06bbnmWca,Kala,0,Throwbacks,1493424000,37,47,52,1,6,11532414,false,,8,17,1kusepF3AacIEtUTYrw4GV,0.447,0.848,2,-6.175,1,0.222,0.033,7.45e-05,0.722,0.485,172.247,audio_features,spotify:track:1kusepF3AacIEtUTYrw4GV,https://api.spotify.com/v1/tracks/1kusepF3AacIEtUTYrw4GV,https://api.spotify.com/v1/audio-analysis/1kusepF3AacIEtUTYrw4GV,203760,4
38,The Killers,spotify:track:7oK9VyNzrYvRFo7nQEYkWN,spotify:artist:0C0XlULifJtAgn6ZNCW2eu,Mr. Brightside,spotify:album:4undIeGmofnAYKhnDclN1w,Hot Fuss,0,Throwbacks,1493424000,37,47,52,1,6,11532414,false,,26,40,7oK9VyNzrYvRFo7nQEYkWN,0.356,0.924,1,-3.74,1,0.0808,0.00101,0.0,0.0953,0.232,148.017,audio_features,spotify:track:7oK9VyNzrYvRFo7nQEYkWN,https://api.spotify.com/v1/tracks/7oK9VyNzrYvRFo7nQEYkWN,https://api.spotify.com/v1/audio-analysis/7oK9VyNzrYvRFo7nQEYkWN,222587,4
39,blink-182,spotify:track:12qZHAeOyTf93YAWvGDTat,spotify:artist:6FBDaR13swtiWwGhX1WQsP,All The Small Things,spotify:album:1fF8kYX49s5Ufv4XEY5sjW,Enema Of The State,0,Throwbacks,1493424000,37,47,52,1,6,11532414,false,,13,33,12qZHAeOyTf93YAWvGDTat,0.442,0.893,0,-4.878,1,0.0505,0.00844,0.0,0.529,0.712,148.119,audio_features,spotify:track:12qZHAeOyTf93YAWvGDTat,https://api.spotify.com/v1/tracks/12qZHAeOyTf93YAWvGDTat,https://api.spotify.com/v1/audio-analysis/12qZHAeOyTf93YAWvGDTat,168000,4
40,The Pussycat Dolls,spotify:track:2jFlMILIQzs7lSFudG9lbo,spotify:artist:6wPhSqRtPu1UhRCDX5yaDJ,Beep,spotify:album:0ylxpXE00fVxh6d60tevT8,PCD,0,Throwbacks,1493424000,37,47,52,1,6,11532414,false,,1,20,2jFlMILIQzs7lSFudG9lbo,0.938,0.735,7,-6.382,1,0.0434,0.00952,0.0,0.0998,0.55,103.7,audio_features,spotify:track:2jFlMILIQzs7lSFudG9lbo,https://api.spotify.com/v1/tracks/2jFlMILIQzs7lSFudG9lbo,https://api.spotify.com/v1/audio-analysis/2jFlMILIQzs7lSFudG9lbo,229360,4
