,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,raw_track_uri,uri,track_href,analysis_url,duration_ms,time_signature
10,0.756,0.675,2,-6.619,1,0.0375,0.0446,0.0,0.56,0.401,124.975,audio_features,1zl7VGjTBriRXgdHEb6z1e,spotify:track:1zl7VGjTBriRXgdHEb6z1e,https://api.spotify.com/v1/tracks/1zl7VGjTBriRXgdHEb6z1e,https://api.spotify.com/v1/audio-analysis/1zl7VGjTBriRXgdHEb6z1e,222288,4
11,0.699,0.87,10,-5.216,1,0.232,0.0856,0.0,0.0507,0.729,96.945,audio_features,2MSjhkw47sGrjbZhColyVx,spotify:track:2MSjhkw47sGrjbZhColyVx,https://api.spotify.com/v1/tracks/2MSjhkw47sGrjbZhColyVx,https://api.spotify.com/v1/audio-analysis/2MSjhkw47sGrjbZhColyVx,252367,4
12,0.504,0.712,9,-4.705,1,0.379,0.175,0.0,0.377,0.307,189.577,audio_features,4ZSLc2F15wKVPjyLt169tt,spotify:track:4ZSLc2F15wKVPjyLt169tt,https://api.spotify.com/v1/tracks/4ZSLc2F15wKVPjyLt169tt,https://api.spotify.com/v1/audio-analysis/4ZSLc2F15wKVPjyLt169tt,239470,4
13,0.827,0.722,6,-4.804,0,0.0945,0.00579,0.0,0.0935,0.589,102.972,audio_features,67BbMuItfrHmaNqDxBPF7c,spotify:track:67BbMuItfrHmaNqDxBPF7c,https://api.spotify.com/v1/tracks/67BbMuItfrHmaNqDxBPF7c,https://api.spotify.com/v1/audio-analysis/67BbMuItfrHmaNqDxBPF7c,212600,4
14,0.773,0.237,2,-9.745,0,0.0604,0.784,0.0,0.101,0.635,94.185,audio_features,0yiigrFvNj02eIlqM8ZGXf,spotify:track:0yiigrFvNj02eIlqM8ZGXf,https://api.spotify.com/v1/tracks/0yiigrFvNj02eIlqM8ZGXf,https://api.spotify.com/v1/audio-analysis/0yiigrFvNj02eIlqM8ZGXf,181570,4
15,0.574,0.909,4,-3.067,0,0.0861,0.0699,0.0,0.0544,0.489,146.723,audio_features,0mtuqz4rcMYCKjF1cjmlu6,spotify:track:0mtuqz4rcMYCKjF1cjmlu6,https://api.spotify.com/v1/tracks/0mtuqz4rcMYCKjF1cjmlu6,https://api.spotify.com/v1/audio-analysis/0mtuqz4rcMYCKjF1cjmlu6,191007,4
16,0.609,0.809,4,-9.869,0,0.0491,0.0314,0.0,0.0504,0.715,146.768,audio_features,7dkX68UnlbaCBWNDWSrthP,spotify:track:7dkX68UnlbaCBWNDWSrthP,https://api.spotify.com/v1/tracks/7dkX68UnlbaCBWNDWSrthP,https://api.spotify.com/v1/audio-analysis/7dkX68UnlbaCBWNDWSrthP,191634,4
17,0.596,0.882,1,-2.258,1,0.0697,0.621,0.0,0.0682,0.4,130.027,audio_features,2sdf2x4YLaHb1k9HtE9cBs,spotify:track:2sdf2x4YLaHb1k9HtE9cBs,https://api.spotify.com/v1/tracks/2sdf2x4YLaHb1k9HtE9cBs,https://api.spotify.com/v1/audio-analysis/2sdf2x4YLaHb1k9HtE9cBs,237864,4
18,0.737,0.818,8,-2.892,1,0.0492,0.0936,0.0,0.0577,0.893,116.93,audio_features,00z4wF0iJsp6GwDkQxkGs6,spotify:track:00z4wF0iJsp6GwDkQxkGs6,https://api.spotify.com/v1/tracks/00z4wF0iJsp6GwDkQxkGs6,https://api.spotify.com/v1/audio-analysis/00z4wF0iJsp6GwDkQxkGs6,232859,4
19,0.651,0.749,5,-3.707,0,0.0412,0.188,0.0,0.0723,0.93,150.019,audio_features,0k6ItoyE50QuW50nGYLO2v,spotify:track:0k6ItoyE50QuW50nGYLO2v,https://api.spotify.com/v1/tracks/0k6ItoyE50QuW50nGYLO2v,https://api.spotify.com/v1/audio-analysis/0k6ItoyE50QuW50nGYLO2v,212334,4
20,0.769,0.837,2,-3.499,1,0.0631,0.359,0.0,0.238,0.584,120.005,audio_features,61NMqZzdUmRHw1KdS1honh,spotify:track:61NMqZzdUmRHw1KdS1honh,https://api.spotify.com/v1/tracks/61NMqZzdUmRHw1KdS1honh,https://api.spotify.com/v1/audio-analysis/61NMqZzdUmRHw1KdS1honh,214750,4
21,0.738,0.909,4,-2.657,0,0.0321,0.0967,0.0,0.0765,0.769,106.031,audio_features,0PibTyOTrNsVfQReWmPhc8,spotify:track:0PibTyOTrNsVfQReWmPhc8,https://api.spotify.com/v1/tracks/0PibTyOTrNsVfQReWmPhc8,https://api.spotify.com/v1/audio-analysis/0PibTyOTrNsVfQReWmPhc8,222107,4
22,0.718,0.476,4,-9.205,1,0.139,0.422,0.0,0.0876,0.448,48.973,audio_features,3JBnDOUd18QKjDqSYuOfpm,spotify:track:3JBnDOUd18QKjDqSYuOfpm,https://api.spotify.com/v1/tracks/3JBnDOUd18QKjDqSYuOfpm,https://api.spotify.com/v1/audio-analysis/3JBnDOUd18QKjDqSYuOfpm,222415,4
23,0.547,0.642,9,-4.411,1,0.0348,0.505,9.88e-06,0.18,0.404,78.907,audio_features,1dzuJ9z66RXuDV3t3gQrFI,spotify:track:1dzuJ9z66RXuDV3t3gQrFI,https://api.spotify.com/v1/tracks/1dzuJ9z66RXuDV3t3gQrFI,https://api.spotify.com/v1/audio-analysis/1dzuJ9z66RXuDV3t3gQrFI,224240,4
24,0.531,0.478,8,-6.853,0,0.0528,0.753,0.0,0.103,0.408,143.81,audio_features,3MdJSXjBarAYuuJ7rjJLDk,spotify:track:3MdJSXjBarAYuuJ7rjJLDk,https://api.spotify.com/v1/tracks/3MdJSXjBarAYuuJ7rjJLDk,https://api.spotify.com/v1/audio-analysis/3MdJSXjBarAYuuJ7rjJLDk,205683,4
25,0.737,0.731,10,-3.193,0,0.0706,0.241,0.0,0.087,0.761,94.999,audio_features,2LowwiemmGMzzNSH1PJprK,spotify:track:2LowwiemmGMzzNSH1PJprK,https://api.spotify.com/v1/tracks/2LowwiemmGMzzNSH1PJprK,https://api.spotify.com/v1/audio-analysis/2LowwiemmGMzzNSH1PJprK,230693,4
26,0.621,0.673,1,-3.194,0,0.0606,0.467,0.0,0.323,0.289,143.889,audio_features,73szhI6oOawKlv6AxgHIS8,spotify:track:73szhI6oOawKlv6AxgHIS8,https://api.spotify.com/v1/tracks/73szhI6oOawKlv6AxgHIS8,https://api.spotify.com/v1/audio-analysis/73szhI6oOawKlv6AxgHIS8,279719,4
27,0.72,0.746,0,-3.143,0,0.107,0.152,0.0,0.276,0.587,90.026,audio_features,7uzib3dSSwgUwcD3z0k3bR,spotify:track:7uzib3dSSwgUwcD3z0k3bR,https://api.spotify.com/v1/tracks/7uzib3dSSwgUwcD3z0k3bR,https://api.spotify.com/v1/audio-analysis/7uzib3dSSwgUwcD3z0k3bR,231811,4
28,0.397,0.686,6,-4.425,0,0.0311,0.37,1.73e-06,0.115,0.486,80.038,audio_features,23Sp4OKoHAmPehmCFsmWdX,spotify:track:23Sp4OKoHAmPehmCFsmWdX,https://api.spotify.com/v1/tracks/23Sp4OKoHAmPehmCFsmWdX,https://api.spotify.com/v1/audio-analysis/23Sp4OKoHAmPehmCFsmWdX,204541,4
29,0.786,0.853,8,-2.687,1,0.0816,0.0688,0.0,0.0759,0.45,125.034,audio_features,1Zyd6zQnC6XIIzmg3hP7Ot,spotify:track:1Zyd6zQnC6XIIzmg3hP7Ot,https://api.spotify.com/v1/tracks/1Zyd6zQnC6XIIzmg3hP7Ot,https://api.spotify.com/v1/audio-analysis/1Zyd6zQnC6XIIzmg3hP7Ot,213264,4
30,0.389,0.467,4,-5.126,1,0.0347,0.787,1.39e-05,0.129,0.25,77.943,audio_features,5FxasBmho2yEvgXrzp9MMW,spotify:track:5FxasBmho2yEvgXrzp9MMW,https://api.spotify.com/v1/tracks/5FxasBmho2yEvgXrzp9MMW,https://api.spotify.com/v1/audio-analysis/5FxasBmho2yEvgXrzp9MMW,222868,4
31,0.69,0.6,8,-4.336,0,0.137,0.656,0.0,0.631,0.236,131.821,audio_features,54ASqOnnhFprbsGtNg9IEZ,spotify:track:54ASqOnnhFprbsGtNg9IEZ,https://api.spotify.com/v1/tracks/54ASqOnnhFprbsGtNg9IEZ,https://api.spotify.com/v1/audio-analysis/54ASqOnnhFprbsGtNg9IEZ,224400,4
32,0.632,0.519,0,-5.735,1,0.0384,0.727,0.0,0.265,0.256,143.837,audio_features,08mBjtIMyRWBh4Y4ubOuiK,spotify:track:08mBjtIMyRWBh4Y4ubOuiK,https://api.spotify.com/v1/tracks/08mBjtIMyRWBh4Y4ubOuiK,https://api.spotify.com/v1/audio-analysis/08mBjtIMyRWBh4Y4ubOuiK,229990,4
33,0.728,0.669,0,-4.73,1,0.0346,0.122,0.0,0.129,0.707,133.961,audio_features,4VFOTZfzXPYGfaA2P43QfP,spotify:track:4VFOTZfzXPYGfaA2P43QfP,https://api.spotify.com/v1/tracks/4VFOTZfzXPYGfaA2P43QfP,https://api.spotify.com/v1/audio-analysis/4VFOTZfzXPYGfaA2P43QfP,242747,4
34,0.853,0.638,1,-4.911,1,0.0536,0.379,0.0,0.27,0.872,102.06,audio_features,23DBqqe35rEZOKJk0qYPVy,spotify:track:23DBqqe35rEZOKJk0qYPVy,https://api.spotify.com/v1/tracks/23DBqqe35rEZOKJk0qYPVy,https://api.spotify.com/v1/audio-analysis/23DBqqe35rEZOKJk0qYPVy,193321,4
35,0.629,0.421,1,-6.746,1,0.0364,0.542,3.56e-06,0.117,0.353,87.939,audio_features,2tnBkiyJWLnQGsjyz4BuJJ,spotify:track:2tnBkiyJWLnQGsjyz4BuJJ,https://api.spotify.com/v1/tracks/2tnBkiyJWLnQGsjyz4BuJJ,https://api.spotify.com/v1/audio-analysis/2tnBkiyJWLnQGsjyz4BuJJ,231307,4
36,0.716,0.906,2,-3.539,1,0.0717,0.00423,0.0,0.0547,0.762,101.028,audio_features,6RioKpKPuG1vuyU0wnlAZx,spotify:track:6RioKpKPuG1vuyU0wnlAZx,https://api.spotify.com/v1/tracks/6RioKpKPuG1vuyU0wnlAZx,https://api.spotify.com/v1/audio-analysis/6RioKpKPuG1vuyU0wnlAZx,192597,4
37,0.636,0.702,0,-5.352,0,0.0334,0.0223,0.0,0.293,0.516,135.104,audio_features,2ujA6F1cpk3m8lsPE5aKua,spotify:track:2ujA6F1cpk3m8lsPE5aKua,https://api.spotify.com/v1/tracks/2ujA6F1cpk3m8lsPE5aKua,https://api.spotify.com/v1/audio-analysis/2ujA6F1cpk3m8lsPE5aKua,176026,4
38,0.843,0.807,1,-3.794,0,0.0632,0.0135,6.44e-05,0.227,0.833,104.962,audio_features,3VC1IEz9M1txlMSx3h3tPM,spotify:track:3VC1IEz9M1txlMSx3h3tPM,https://api.spotify.com/v1/tracks/3VC1IEz9M1txlMSx3h3tPM,https://api.spotify.com/v1/audio-analysis/3VC1IEz9M1txlMSx3h3tPM,202963,4
39,0.851,0.842,4,-3.17,0,0.214,0.00474,0.000768,0.314,0.728,102.566,audio_features,2FQhL0Cwk69VDrsQEzN9Tn,spotify:track:2FQhL0Cwk69VDrsQEzN9Tn,https://api.spotify.com/v1/tracks/2FQhL0Cwk69VDrsQEzN9Tn,https://api.spotify.com/v1/audio-analysis/2FQhL0Cwk69VDrsQEzN9Tn,202536,4
40,0.767,0.755,11,-3.938,0,0.03,0.303,3.62e-05,0.105,0.631,120.978,audio_features,3UMjZ9bAT1AnpcWD4aKyP8,spotify:track:3UMjZ9bAT1AnpcWD4aKyP8,https://api.spotify.com/v1/tracks/3UMjZ9bAT1AnpcWD4aKyP8,https://api.spotify.com/v1/audio-analysis/3UMjZ9bAT1AnpcWD4aKyP8,240572,4
41,0.749,0.85,0,-4.346,1,0.0468,0.0319,4.81e-05,0.0678,0.672,145.983,audio_features,5EzitieoPnjyKHAq0gfRMa,spotify:track:5EzitieoPnjyKHAq0gfRMa,https://api.spotify.com/v1/tracks/5EzitieoPnjyKHAq0gfRMa,https://api.spotify.com/v1/audio-analysis/5EzitieoPnjyKHAq0gfRMa,190423,4
42,0.814,0.683,8,-2.596,0,0.195,0.0943,0.0,0.0678,0.757,140.051,audio_features,2eXziVXVdsftkKrKOcyVNX,spotify:track:2eXziVXVdsftkKrKOcyVNX,https://api.spotify.com/v1/tracks/2eXziVXVdsftkKrKOcyVNX,https://api.spotify.com/v1/audio-analysis/2eXziVXVdsftkKrKOcyVNX,208285,4
43,0.726,0.772,10,-4.373,0,0.113,0.451,0.0,0.195,0.778,80.017,audio_features,7y9Xospz6eMMJBtqELet7d,spotify:track:7y9Xospz6eMMJBtqELet7d,https://api.spotify.com/v1/tracks/7y9Xospz6eMMJBtqELet7d,https://api.spotify.com/v1/audio-analysis/7y9Xospz6eMMJBtqELet7d,246285,4
44,0.631,0.728,6,-5.111,1,0.284,0.0511,0.0,0.171,0.395,139.977,audio_features,08eReCl8B3bV1GA247IGc2,spotify:track:08eReCl8B3bV1GA247IGc2,https://api.spotify.com/v1/tracks/08eReCl8B3bV1GA247IGc2,https://api.spotify.com/v1/audio-analysis/08eReCl8B3bV1GA247IGc2,274992,4
45,0.593,0.431,9,-7.846,0,0.415,0.327,0.0,0.21,0.641,169.781,audio_features,36FPRDpKyP8hJxPhJs4G17,spotify:track:36FPRDpKyP8hJxPhJs4G17,https://api.spotify.com/v1/tracks/36FPRDpKyP8hJxPhJs4G17,https://api.spotify.com/v1/audio-analysis/36FPRDpKyP8hJxPhJs4G17,267584,4
46,0.526,0.828,6,-3.82,1,0.143,0.00773,0.0,0.296,0.663,110.182,audio_features,5NB0u5gWcwH1D6y3euVSKI,spotify:track:5NB0u5gWcwH1D6y3euVSKI,https://api.spotify.com/v1/tracks/5NB0u5gWcwH1D6y3euVSKI,https://api.spotify.com/v1/audio-analysis/5NB0u5gWcwH1D6y3euVSKI,221349,4
47,0.72,0.918,1,-2.602,0,0.0991,0.0497,1.68e-06,0.144,0.551,139.998,audio_features,1jHmGj123EpOxXd9S1PpFF,spotify:track:1jHmGj123EpOxXd9S1PpFF,https://api.spotify.com/v1/tracks/1jHmGj123EpOxXd9S1PpFF,https://api.spotify.com/v1/audio-analysis/1jHmGj123EpOxXd9S1PpFF,195423,4
48,0.533,0.823,6,-4.109,1,0.252,0.0516,0.0,0.473,0.706,89.711,audio_features,6NB81kD2XDeTdNBksV0yxM,spotify:track:6NB81kD2XDeTdNBksV0yxM,https://api.spotify.com/v1/tracks/6NB81kD2XDeTdNBksV0yxM,https://api.spotify.com/v1/audio-analysis/6NB81kD2XDeTdNBksV0yxM,216999,4
49,0.476,0.581,8,-8.795,1,0.12,0.523,0.0,0.201,0.282,129.568,audio_features,7iV733e1KacKrFRaBNxVEf,spotify:track:7iV733e1KacKrFRaBNxVEf,https://api.spotify.com/v1/tracks/7iV733e1KacKrFRaBNxVEf,https://api.spotify.com/v1/audio-analysis/7iV733e1KacKrFRaBNxVEf,139972,4
50,0.598,0.775,1,-4.035,0,0.0545,0.022,0.0,0.0677,0.687,129.819,audio_features,5SE57ljOIUJ1ybL9U6CuBH,spotify:track:5SE57ljOIUJ1ybL9U6CuBH,https://api.spotify.com/v1/tracks/5SE57ljOIUJ1ybL9U6CuBH,https://api.spotify.com/v1/audio-analysis/5SE57ljOIUJ1ybL9U6CuBH,223123,4
51,0.612,0.844,5,-4.694,0,0.0756,0.142,0.0,0.287,0.653,134.868,audio_features,3ryjLm3oupIjJFGc39naNi,spotify:track:3ryjLm3oupIjJFGc39naNi,https://api.spotify.com/v1/tracks/3ryjLm3oupIjJFGc39naNi,https://api.spotify.com/v1/audio-analysis/3ryjLm3oupIjJFGc39naNi,196776,4
52,0.667,0.889,6,-4.851,1,0.0918,0.00912,0.0,0.0816,0.541,169.959,audio_features,2SYa5Lx1uoCvyDIW4oee9b,spotify:track:2SYa5Lx1uoCvyDIW4oee9b,https://api.spotify.com/v1/tracks/2SYa5Lx1uoCvyDIW4oee9b,https://api.spotify.com/v1/audio-analysis/2SYa5Lx1uoCvyDIW4oee9b,238193,4
53,0.438,0.178,7,-20.392,0,0.0445,0.908,0.752,0.0688,0.166,114.515,audio_features,4WJ7UMD4i6DOPzyXU5pZSz,spotify:track:4WJ7UMD4i6DOPzyXU5pZSz,https://api.spotify.com/v1/tracks/4WJ7UMD4i6DOPzyXU5pZSz,https://api.spotify.com/v1/audio-analysis/4WJ7UMD4i6DOPzyXU5pZSz,428560,4
54,0.33,0.0682,3,-29.917,1,0.0378,0.988,0.916,0.0893,0.329,91.942,audio_features,1Kzxd1kkjaGX4JZz2CYsXB,spotify:track:1Kzxd1kkjaGX4JZz2CYsXB,https://api.spotify.com/v1/tracks/1Kzxd1kkjaGX4JZz2CYsXB,https://api.spotify.com/v1/audio-analysis/1Kzxd1kkjaGX4JZz2CYsXB,352160,4
55,0.192,0.952,2,-5.888,1,0.258,0.00164,0.716,0.307,0.262,172.752,audio_features,6lbLn5iL2NBJnbib7bTXMn,spotify:track:6lbLn5iL2NBJnbib7bTXMn,https://api.spotify.com/v1/tracks/6lbLn5iL2NBJnbib7bTXMn,https://api.spotify.com/v1/audio-analysis/6lbLn5iL2NBJnbib7bTXMn,234607,4
56,0.296,0.913,2,-6.144,1,0.068,0.0226,0.255,0.0583,0.183,171.314,audio_features,1rEsbyBuQ0MqKF3dG7B0bf,spotify:track:1rEsbyBuQ0MqKF3dG7B0bf,https://api.spotify.com/v1/tracks/1rEsbyBuQ0MqKF3dG7B0bf,https://api.spotify.com/v1/audio-analysis/1rEsbyBuQ0MqKF3dG7B0bf,220318,4
57,0.625,0.285,1,-16.686,0,0.0537,0.438,0.00279,0.192,0.357,140.02,audio_features,5Ss6DqCldgTmIo6BekVOJT,spotify:track:5Ss6DqCldgTmIo6BekVOJT,https://api.spotify.com/v1/tracks/5Ss6DqCldgTmIo6BekVOJT,https://api.spotify.com/v1/audio-analysis/5Ss6DqCldgTmIo6BekVOJT,176761,4
58,0.594,0.185,8,-16.243,0,0.0319,0.957,0.00287,0.118,0.415,127.085,audio_features,4yp90BbE4dxPXfGGSpbFwT,spotify:track:4yp90BbE4dxPXfGGSpbFwT,https://api.spotify.com/v1/tracks/4yp90BbE4dxPXfGGSpbFwT,https://api.spotify.com/v1/audio-analysis/4yp90BbE4dxPXfGGSpbFwT,164027,3
59,0.496,0.84,2,-5.718,1,0.205,0.353,0.0,0.319,0.415,140.39,audio_features,49MHzAcdjObyNqKcRVw3vZ,spotify:track:49MHzAcdjObyNqKcRVw3vZ,https://api.spotify.com/v1/tracks/49MHzAcdjObyNqKcRVw3vZ,https://api.spotify.com/v1/audio-analysis/49MHzAcdjObyNqKcRVw3vZ,139482,4
60,0.311,0.105,4,-19.444,0,0.0336,0.905,0.000251,0.164,0.0385,129.491,audio_features,0KG3m0KDzDg7uLHqtfTvpJ,spotify:track:0KG3m0KDzDg7uLHqtfTvpJ,https://api.spotify.com/v1/tracks/0KG3m0KDzDg7uLHqtfTvpJ,https://api.spotify.com/v1/audio-analysis/0KG3m0KDzDg7uLHqtfTvpJ,233029,4
61,0.361,0.392,11,-11.679,1,0.0312,0.774,0.145,0.107,0.238,130.662,audio_features,5wNOm5nP4YRv2vywrgpwIq,spotify:track:5wNOm5nP4YRv2vywrgpwIq,https://api.spotify.com/v1/tracks/5wNOm5nP4YRv2vywrgpwIq,https://api.spotify.com/v1/audio-analysis/5wNOm5nP4YRv2vywrgpwIq,260176,3
62,0.682,0.9,9,-5.028,1,0.0873,0.0891,0.063,0.0685,0.937,100.721,audio_features,0EKH4YxisqaxUMnV2x0ZrW,spotify:track:0EKH4YxisqaxUMnV2x0ZrW,https://api.spotify.com/v1/tracks/0EKH4YxisqaxUMnV2x0ZrW,https://api.spotify.com/v1/audio-analysis/0EKH4YxisqaxUMnV2x0ZrW,179499,4
63,0.593,0.154,4,-12.668,1,0.0471,0.979,2.48e-05,0.116,0.115,118.151,audio_features,3MGo8vd3wIQ7PmHgj9hEdO,spotify:track:3MGo8vd3wIQ7PmHgj9hEdO,https://api.spotify.com/v1/tracks/3MGo8vd3wIQ7PmHgj9hEdO,https://api.spotify.com/v1/audio-analysis/3MGo8vd3wIQ7PmHgj9hEdO,153573,4
64,0.702,0.361,6,-9.078,1,0.0303,0.00344,0.838,0.29,0.367,106.137,audio_features,13XifhwLU68h7Z3uCm8GLw,spotify:track:13XifhwLU68h7Z3uCm8GLw,https://api.spotify.com/v1/tracks/13XifhwLU68h7Z3uCm8GLw,https://api.spotify.com/v1/audio-analysis/13XifhwLU68h7Z3uCm8GLw,118975,4
65,0.748,0.625,6,-11.09,1,0.0306,0.135,0.887,0.105,0.814,125.563,audio_features,3MK5vIP1wJqtxQOxp4d3j7,spotify:track:3MK5vIP1wJqtxQOxp4d3j7,https://api.spotify.com/v1/tracks/3MK5vIP1wJqtxQOxp4d3j7,https://api.spotify.com/v1/audio-analysis/3MK5vIP1wJqtxQOxp4d3j7,233064,4
66,0.516,0.626,10,-7.594,1,0.0326,0.00471,0.639,0.318,0.456,123.055,audio_features,0nKnz4M421QMOZyXSlw8pk,spotify:track:0nKnz4M421QMOZyXSlw8pk,https://api.spotify.com/v1/tracks/0nKnz4M421QMOZyXSlw8pk,https://api.spotify.com/v1/audio-analysis/0nKnz4M421QMOZyXSlw8pk,282048,4
67,0.683,0.592,4,-11.749,1,0.0786,0.0024,0.00436,0.318,0.689,124.973,audio_features,0y6J7BPS6JTDkFOB7HIYPt,spotify:track:0y6J7BPS6JTDkFOB7HIYPt,https://api.spotify.com/v1/tracks/0y6J7BPS6JTDkFOB7HIYPt,https://api.spotify.com/v1/audio-analysis/0y6J7BPS6JTDkFOB7HIYPt,180816,4
68,0.609,0.536,1,-9.091,1,0.0317,1.84e-05,0.876,0.384,0.561,123.699,audio_features,7pQcijAjMJ6wAF1wTkR6bQ,spotify:track:7pQcijAjMJ6wAF1wTkR6bQ,https://api.spotify.com/v1/tracks/7pQcijAjMJ6wAF1wTkR6bQ,https://api.spotify.com/v1/audio-analysis/7pQcijAjMJ6wAF1wTkR6bQ,207266,4
69,0.653,0.657,1,-7.096,1,0.232,0.728,0.000264,0.276,0.223,79.968,audio_features,41KIQllu3eKuD4RdLSpzX0,spotify:track:41KIQllu3eKuD4RdLSpzX0,https://api.spotify.com/v1/tracks/41KIQllu3eKuD4RdLSpzX0,https://api.spotify.com/v1/audio-analysis/41KIQllu3eKuD4RdLSpzX0,312973,4
70,0.498,0.657,5,-6.66,1,0.043,0.00434,0.000384,0.11,0.796,176.039,audio_features,71l93iUkmRg9jpeAgjN3LU,spotify:track:71l93iUkmRg9jpeAgjN3LU,https://api.spotify.com/v1/tracks/71l93iUkmRg9jpeAgjN3LU,https://api.spotify.com/v1/audio-analysis/71l93iUkmRg9jpeAgjN3LU,207565,4
71,0.558,0.855,2,-5.243,1,0.0343,0.00342,0.934,0.175,0.574,130.01,audio_features,2K0HAp3di1AvmIjYYdPk4J,spotify:track:2K0HAp3di1AvmIjYYdPk4J,https://api.spotify.com/v1/tracks/2K0HAp3di1AvmIjYYdPk4J,https://api.spotify.com/v1/audio-analysis/2K0HAp3di1AvmIjYYdPk4J,340366,4
72,0.337,0.701,9,-6.974,1,0.0306,0.00112,0.0,0.201,0.434,143.066,audio_features,4RCjEqGNS8xdU4nOhzDp0E,spotify:track:4RCjEqGNS8xdU4nOhzDp0E,https://api.spotify.com/v1/tracks/4RCjEqGNS8xdU4nOhzDp0E,https://api.spotify.com/v1/audio-analysis/4RCjEqGNS8xdU4nOhzDp0E,288920,4
73,0.269,0.941,2,-4.604,1,0.0578,0.000173,1.13e-06,0.161,0.664,88.85,audio_features,1sXFe0GAwr8ml6vKTViZLP,spotify:track:1sXFe0GAwr8ml6vKTViZLP,https://api.spotify.com/v1/tracks/1sXFe0GAwr8ml6vKTViZLP,https://api.spotify.com/v1/audio-analysis/1sXFe0GAwr8ml6vKTViZLP,156162,4
